"";"unidade_planejamento";"regiao_administrativa";"local_trabalho";"meio_transporte";"tempo_deslocamento";"renda";"escolaridade";"sexo";"cor_raca";"peso_amostral_morador";"pop_ajustada";"pos_estrato";"peso_upt"
"10663";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Até 30 minutos";8989,65198008095;"Superior completo";"Masculino";"Branca";20,2913385826772;2577;533010110;0,780199918533605
"10664";"Central Adjacente 2";"Vicente Pires";"Oeste";"Ônibus";"Até 30 minutos";6879,83569904154;"Médio completo";"Feminino";"Branca";20,7181208053691;3087;533010209;0,780199918533605
"10665";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Automóvel";"Entre 30 minutos e 1 hora";2201,54742369329;"Superior completo";"Masculino";"Outros";4,8780487804878;400;533020110;0,780199918533605
"10666";"Central Adjacente 2";"Vicente Pires";"Oeste";"Ônibus";"Entre 30 minutos e 1 hora";366,924570615549;"Superior incompleto";"Feminino";"Outros";9,79310344827586;568;533020205;0,780199918533605
"10667";"Central Adjacente 2";"Vicente Pires";"Oeste";"Automóvel";"Até 30 minutos";4703,77797541651;"Superior completo";"Feminino";"Branca";18,0126582278481;2846;533010210;0,780199918533605
"10668";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"A pé";"Até 30 minutos";1375,96713980831;"Fundamental incompleto";"Masculino";"Branca";4,8780487804878;400;533020110;0,780199918533605
"10669";"Central Adjacente 2";"Vicente Pires";"Oeste";"Ônibus";"Entre 30 minutos e 1 hora";1009,04256919276;"Fundamental incompleto";"Feminino";"Preta";5,44444444444444;490;533020207;0,780199918533605
"10670";"Central Adjacente 2";"Vicente Pires";"Oeste";"Ônibus";"Entre 30 minutos e 1 hora";1834,62285307774;"Superior completo";"Feminino";"Outros";5,26262626262626;521;533020209;0,780199918533605
"10671";"Central Adjacente 2";"Vicente Pires";"Oeste";"Automóvel";"Até 30 minutos";1375,96713980831;"Médio incompleto";"Masculino";"Outros";5,97674418604651;514;533020108;0,780199918533605
"10672";"Central Adjacente 2";"Vicente Pires";"Oeste";"Automóvel";"Até 30 minutos";2109,81628103941;"Médio completo";"Masculino";"Outros";4,95145631067961;510;533020109;0,780199918533605
"10673";"Central Adjacente 2";"Vicente Pires";"Oeste";"Automóvel";"Até 30 minutos";2751,93427961662;"Superior completo";"Feminino";"Branca";4,3495145631068;448;533020208;0,780199918533605
"10674";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Até 30 minutos";2935,39656492439;"Médio completo";"Masculino";"Branca";23,2991452991453;2726;533010106;0,780199918533605
"10675";"Central Adjacente 2";"Vicente Pires";"Oeste";"Automóvel";"Entre 30 minutos e 1 hora";2769,25381475333;"Médio completo";"Masculino";"Branca";24,1186440677966;2846;533010107;0,780199918533605
"10676";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Automóvel";"Até 30 minutos";2695,57477101233;"Médio completo";"Masculino";"Branca";19,6861313868613;2697;533010108;0,780199918533605
"10677";"Central Adjacente 2";"Vicente Pires";"Oeste";"Ônibus";"Até 30 minutos";1666,76373340929;"Médio completo";"Feminino";"Branca";18,3712121212121;2425;533010204;0,780199918533605
"10678";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Ônibus";"Até 30 minutos";8625,83926723945;"Médio completo";"Masculino";"Outros";25,8796296296296;2795;533010105;0,780199918533605
"10679";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Até 30 minutos";7322,97812791682;"Fundamental completo";"Masculino";"Branca";24,1186440677966;2846;533010107;0,780199918533605
"10680";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Bicicleta";"Até 30 minutos";1168,08240077201;"Médio completo";"Masculino";"Branca";21,1176470588235;1077;533010114;0,780199918533605
"10681";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Motocicleta";"Entre 30 minutos e 1 hora";3144,83723284772;"Superior completo";"Masculino";"Branca";24,1186440677966;2846;533010107;0,780199918533605
"10682";"Central Adjacente 2";"Vicente Pires";"Oeste";"Automóvel";"Até 30 minutos";4776,52177432313;"Superior completo";"Feminino";"Outros";18,0126582278481;2846;533010210;0,780199918533605
"10683";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Entre 30 minutos e 1 hora";5570,85452675881;"Superior completo";"Feminino";"Branca";22,9279279279279;2545;533010211;0,780199918533605
"10684";"Central Adjacente 2";"Vicente Pires";"Oeste";"Automóvel";"Até 30 minutos";5503,86855923323;"Superior completo";"Feminino";"Branca";18,0126582278481;2846;533010210;0,780199918533605
"10685";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Automóvel";"Até 30 minutos";2246,31230917694;"Médio completo";"Masculino";"Outros";24,1186440677966;2846;533010107;0,780199918533605
"10686";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Automóvel";"Até 30 minutos";3594,0996946831;"Superior completo";"Feminino";"Branca";18,0126582278481;2846;533010210;0,780199918533605
"10687";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Ônibus";"Entre 30 minutos e 1 hora";1834,62285307774;"Fundamental incompleto";"Masculino";"Outros";4,95145631067961;510;533020109;0,780199918533605
