"";"unidade_planejamento";"regiao_administrativa";"local_trabalho";"meio_transporte";"tempo_deslocamento";"renda";"escolaridade";"sexo";"cor_raca";"peso_amostral_morador";"pop_ajustada";"pos_estrato"
"2828";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";10090,4256919276;"Superior completo";"Masculino";"Parda";6,67857142857143;1309;530130108
"2829";"Central";"Plano Piloto";"Oeste";"Automóvel";"Entre 30 minutos e 1 hora";12579,3489313909;"Superior completo";"Masculino";"Branca";7,77333333333333;583;530130111
"2830";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";6738,93692753082;"Superior completo";"Masculino";"Amarela";7,03333333333333;844;530130110
"2831";"Central";"Plano Piloto";"Central";"Ônibus";"Até 30 minutos";1834,62285307774;"Superior completo";"Masculino";"Branca";17,7539682539683;2237;530120106
"2832";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";8985,24923670776;"Superior completo";"Feminino";"Branca";13,1032863849765;2791;530120207
"2833";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";16173,448626074;"Superior incompleto";"Masculino";"Branca";11,131455399061;2371;530120107
"2834";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";7338,49141231098;"Superior completo";"Feminino";"Branca";17,8878048780488;3667;530120209
"2835";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";18346,2285307774;"Superior completo";"Masculino";"Branca";16,2433862433862;3070;530120109
"2836";"Central";"Plano Piloto";"Central Adjacente 2";"Automóvel";"Até 30 minutos";10090,4256919276;"Superior incompleto";"Masculino";"Parda";7,77333333333333;583;530130111
"2837";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";6054,25541515656;"Superior completo";"Feminino";"Parda";9,73793103448276;1412;530130209
"2838";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";8086,72431303698;"Superior completo";"Feminino";"Parda";7,59345794392523;1625;530130208
"2839";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";0;"Superior completo";"Masculino";"Parda";6,60629921259843;839;530130107
